"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::10f6:70a2:837:f4ff","fe80::1c2a:6c43:7c75:64d7","UDP","66","3722  >  3722 Len=4"
"2","0.090333","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2600:1901:0:5e8a::","TCP","74","60947  >  443 [RST, ACK] Seq=1 Ack=1 Win=2048 Len=0"
"3","0.099282","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","53071  >  443 Len=41"
"4","0.105121","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","94","443  >  53071 Len=32"
"5","0.389002","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","49655  >  443 Len=41"
"6","0.401645","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","94","443  >  49655 Len=32"
"7","1.019245","192.168.1.254","192.168.1.72","ICMP","98","Echo (ping) request  id=0x4289, seq=20/5120, ttl=64 (reply in 10)"
"8","1.019248","192.168.1.254","192.168.1.72","ICMP","98","Echo (ping) request  id=0x428a, seq=20/5120, ttl=64 (reply in 11)"
"9","1.019253","192.168.1.254","192.168.1.72","ICMP","98","Echo (ping) request  id=0x4288, seq=20/5120, ttl=64 (reply in 12)"
"10","1.019411","192.168.1.72","192.168.1.254","ICMP","98","Echo (ping) reply    id=0x4289, seq=20/5120, ttl=64 (request in 7)"
"11","1.019470","192.168.1.72","192.168.1.254","ICMP","98","Echo (ping) reply    id=0x428a, seq=20/5120, ttl=64 (request in 8)"
"12","1.019490","192.168.1.72","192.168.1.254","ICMP","98","Echo (ping) reply    id=0x4288, seq=20/5120, ttl=64 (request in 9)"
"13","1.022354","192.168.1.254","192.168.1.72","ICMP","98","Echo (ping) request  id=0x428a, seq=25/6400, ttl=64 (reply in 16)"
"14","1.022357","192.168.1.254","192.168.1.72","ICMP","98","Echo (ping) request  id=0x4289, seq=25/6400, ttl=64 (reply in 17)"
"15","1.022359","192.168.1.254","192.168.1.72","ICMP","98","Echo (ping) request  id=0x4288, seq=23/5888, ttl=64 (reply in 18)"
"16","1.022410","192.168.1.72","192.168.1.254","ICMP","98","Echo (ping) reply    id=0x428a, seq=25/6400, ttl=64 (request in 13)"
"17","1.022434","192.168.1.72","192.168.1.254","ICMP","98","Echo (ping) reply    id=0x4289, seq=25/6400, ttl=64 (request in 14)"
"18","1.022447","192.168.1.72","192.168.1.254","ICMP","98","Echo (ping) reply    id=0x4288, seq=23/5888, ttl=64 (request in 15)"
"19","1.106054","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","53071  >  443 Len=41"
"20","1.116064","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","95","443  >  53071 Len=33"
"21","1.116397","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","116","53071  >  443 Len=54"
"22","1.403491","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","49655  >  443 Len=41"
"23","1.416710","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","94","443  >  49655 Len=32"
"24","1.492757","140.82.112.25","192.168.1.72","TLSv1.2","92","Application Data"
"25","1.493162","192.168.1.72","140.82.112.25","TCP","66","60916  >  443 [ACK] Seq=1 Ack=27 Win=2048 Len=0 TSval=3666208636 TSecr=4190078850"
"26","1.493750","192.168.1.72","140.82.112.25","TLSv1.2","90","Application Data"
"27","1.493856","192.168.1.72","140.82.112.25","TLSv1.2","92","Application Data"
"28","1.493917","192.168.1.72","140.82.112.25","TLSv1.2","90","Application Data"
"29","1.534858","140.82.112.25","192.168.1.72","TCP","66","443  >  60916 [ACK] Seq=27 Ack=25 Win=87 Len=0 TSval=4190078893 TSecr=3666208637"
"30","1.534865","140.82.112.25","192.168.1.72","TCP","66","443  >  60916 [ACK] Seq=27 Ack=51 Win=87 Len=0 TSval=4190078893 TSecr=3666208637"
"31","1.534867","140.82.112.25","192.168.1.72","TCP","66","443  >  60916 [ACK] Seq=27 Ack=75 Win=87 Len=0 TSval=4190078893 TSecr=3666208637"
"32","1.837282","2407:30c0:182::aa72:3421","2600:1702:6a30:920:3d2d:22f7:2014:fc79","TCP","86","443  >  60723 [ACK] Seq=1 Ack=1 Win=16 Len=0 TSval=154982230 TSecr=571700022"
